order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
1,barista,9.16,0.00,250.03,9.16,0.00
2,waiter,11.92,0.00,20.59,11.92,0.00
3,waiter,14.28,0.00,31.18,14.28,0.00
4,barista,26.41,0.00,141.35,26.41,0.00
5,barista,32.52,0.00,15.63,32.52,0.00
6,barista,32.52,0.00,73.29,32.52,0.00
7,waiter,37.52,0.00,11.85,5.00,0.00
8,waiter,41.84,0.00,94.09,41.84,0.00
9,barista,48.14,2.68,88.41,0.00,2.68
10,barista,105.81,60.34,84.76,0.00,60.34
11,waiter,120.00,74.50,7.62,70.64,74.50
12,barista,136.55,87.19,4.77,0.00,87.19
13,barista,141.33,91.96,7.26,0.00,91.96
14,waiter,148.58,75.80,76.78,20.96,75.80
15,waiter,148.58,75.24,30.82,103.12,75.24
16,waiter,148.58,74.88,102.97,12.65,74.88
17,barista,148.58,20.96,20.79,0.00,20.96
18,barista,167.75,40.13,6.16,0.00,40.13
19,barista,169.37,41.75,100.94,0.00,41.75
20,barista,173.92,46.29,29.53,0.00,46.29
21,waiter,179.40,47.50,12.18,0.00,47.50
22,barista,190.56,54.63,93.21,0.00,54.63
23,barista,203.45,24.05,7.56,0.00,24.05
24,barista,211.01,31.61,32.35,0.00,31.61
25,barista,243.36,63.96,24.88,0.00,63.96
26,waiter,249.36,62.37,102.76,24.00,62.37
27,barista,259.19,67.62,9.24,0.00,67.62
28,waiter,268.24,73.44,16.65,76.67,73.44
29,barista,268.24,42.88,7.60,0.00,42.88
30,barista,268.43,43.07,54.01,0.00,43.07
31,waiter,270.31,20.95,188.58,18.76,20.95
32,barista,270.31,19.65,122.18,0.00,19.65
33,barista,275.84,24.29,75.42,0.00,24.29
34,barista,283.78,32.22,1.27,0.00,32.22
35,barista,285.04,33.49,30.26,0.00,33.49
36,waiter,300.00,27.53,15.70,15.11,27.53
37,barista,315.31,30.41,122.70,0.00,30.41
38,barista,322.44,37.55,70.62,0.00,37.55
39,waiter,346.24,43.42,36.84,30.55,43.42
40,barista,351.26,35.56,226.98,0.00,35.56
41,waiter,352.11,5.87,15.80,0.00,5.87
42,barista,392.49,40.37,75.61,0.00,40.37
43,barista,393.06,25.15,137.38,0.00,25.15
44,barista,438.01,54.93,17.89,0.00,54.93
45,barista,458.89,0.00,84.68,2.98,0.00
46,barista,468.10,2.91,26.14,0.00,2.91
47,waiter,506.41,0.00,33.16,138.50,0.00
48,barista,518.27,0.00,159.78,24.03,0.00
49,waiter,532.28,0.00,143.43,149.20,0.00
50,barista,539.57,0.00,11.01,9.12,0.00
51,barista,675.71,0.00,453.70,125.13,0.00
52,barista,696.53,0.00,33.86,118.28,0.00
53,waiter,787.87,0.00,36.67,248.30,0.00
54,barista,824.53,0.00,126.78,94.14,0.00
55,barista,833.32,0.00,14.52,155.27,0.00
56,waiter,932.09,0.00,18.41,107.56,0.00
57,barista,950.51,0.00,109.49,102.67,0.00
58,barista,979.77,0.00,60.93,28.45,0.00
59,barista,998.73,0.00,23.51,455.16,0.00
60,waiter,1015.40,0.00,33.53,64.89,0.00
61,waiter,1019.49,0.00,52.54,343.77,0.00
62,barista,1048.93,0.00,17.22,8.22,0.00
63,barista,1072.02,0.00,173.47,5.88,0.00
64,barista,1211.97,0.00,46.67,82.56,0.00
65,waiter,1218.84,0.00,12.12,169.91,0.00
66,barista,1230.95,0.00,39.89,170.96,0.00
67,barista,1263.05,0.00,23.76,4.41,0.00
68,waiter,1270.08,0.00,30.06,39.13,0.00
69,waiter,1288.77,0.00,14.41,216.75,0.00
70,barista,1300.14,0.00,29.43,13.33,0.00
71,barista,1303.18,0.00,98.85,57.68,0.00
72,barista,1385.70,0.00,77.25,56.13,0.00
73,barista,1385.92,0.00,61.81,115.08,0.00
74,waiter,1498.10,0.00,149.51,197.96,0.00
75,waiter,1521.81,0.00,12.66,218.63,0.00
76,waiter,1527.52,0.00,9.98,1068.63,0.00
77,barista,1534.47,0.00,9.01,71.52,0.00
78,barista,1537.50,0.00,96.38,135.47,0.00
79,barista,1647.61,0.00,375.11,104.13,0.00
80,waiter,1669.61,0.00,78.00,22.00,0.00
81,waiter,1739.65,0.00,140.56,205.18,0.00
82,waiter,1742.01,0.00,33.61,204.51,0.00
83,barista,1747.61,0.00,7.50,113.72,0.00
84,barista,1772.90,0.00,45.41,17.80,0.00
85,barista,1775.63,0.00,181.75,327.91,0.00
86,barista,1807.68,0.00,45.59,785.44,0.00
87,waiter,1836.24,0.00,78.22,88.63,0.00
88,waiter,1843.32,0.00,48.96,67.69,0.00
89,barista,1880.21,0.00,25.41,61.90,0.00
90,waiter,1891.45,0.00,22.92,11.24,0.00
91,barista,1892.28,0.00,30.73,39.02,0.00
92,waiter,1897.41,0.00,99.93,5.12,0.00
93,barista,1914.37,0.00,73.75,8.75,0.00
94,barista,1923.01,8.56,26.84,0.00,8.56
95,waiter,1950.57,0.00,124.67,36.12,0.00
96,barista,1997.34,0.00,52.28,9.21,0.00
97,waiter,2014.44,0.00,49.02,100.06,0.00
98,barista,2063.46,0.00,79.09,40.74,0.00
99,waiter,2067.71,0.00,42.18,4.26,0.00
100,barista,2075.24,0.00,6.11,25.63,0.00
101,waiter,2075.85,0.00,534.75,0.61,0.00
102,barista,2106.78,0.00,16.79,25.43,0.00
103,barista,2109.90,0.00,20.39,152.51,0.00
104,waiter,2122.05,0.00,107.89,12.16,0.00
105,waiter,2123.36,0.00,30.52,126.02,0.00
106,barista,2153.89,0.00,110.91,11.34,0.00
107,barista,2229.94,0.00,7.53,106.37,0.00
108,barista,2255.07,0.00,112.38,17.59,0.00
109,waiter,2259.67,0.00,1.41,29.73,0.00
110,barista,2261.08,0.00,54.87,130.79,0.00
111,waiter,2334.16,0.00,9.37,73.09,0.00
112,barista,2343.53,0.00,55.99,78.73,0.00
113,waiter,2354.91,0.00,125.45,11.38,0.00
114,barista,2356.69,0.00,14.95,40.74,0.00
115,barista,2377.54,0.00,91.95,10.09,0.00
116,waiter,2416.25,0.00,19.42,262.36,0.00
117,barista,2435.67,0.00,7.78,36.15,0.00
118,waiter,2450.97,0.00,123.82,15.31,0.00
119,waiter,2475.97,0.00,6.26,2475.97,0.00
120,barista,2480.36,0.00,117.57,36.92,0.00
121,barista,2482.22,0.00,65.83,12.73,0.00
122,barista,2574.79,0.00,34.09,26.74,0.00
123,barista,2591.87,0.00,44.38,220.23,0.00
124,barista,2610.60,0.00,22.86,12.66,0.00
125,barista,2610.92,0.00,26.26,2.03,0.00
126,waiter,2659.09,0.00,30.52,48.49,0.00
127,waiter,2670.36,0.00,117.96,189.99,0.00
128,barista,2673.60,0.00,23.66,40.14,0.00
129,waiter,2687.64,0.00,87.73,112.85,0.00
130,barista,2689.61,0.00,97.54,52.43,0.00
131,barista,2775.38,0.00,4.75,78.11,0.00
132,barista,2788.32,0.00,16.14,8.19,0.00
133,waiter,2817.86,0.00,150.23,128.25,0.00
134,barista,2826.39,0.00,21.94,21.93,0.00
135,barista,2841.06,0.00,29.19,53.91,0.00
136,barista,2868.14,0.00,53.73,19.81,0.00
137,waiter,2874.34,0.00,76.13,86.02,0.00
138,waiter,2920.31,0.00,17.70,144.94,0.00
139,barista,2938.02,0.00,84.46,16.15,0.00
140,barista,2950.48,0.00,12.66,80.22,0.00
141,barista,2968.09,0.00,90.66,4.95,0.00
142,barista,3000.89,0.00,23.22,364.63,0.00
143,waiter,3035.44,0.00,9.59,67.35,0.00
144,barista,3045.03,0.00,136.25,22.56,0.00
145,barista,3063.88,0.00,31.63,5.13,0.00
146,waiter,3121.20,0.00,200.02,76.17,0.00
147,waiter,3143.25,0.00,47.42,192.77,0.00
148,waiter,3156.59,0.00,201.07,218.57,0.00
149,barista,3190.67,0.00,38.24,9.38,0.00
150,waiter,3198.43,0.00,95.11,7.76,0.00
151,waiter,3200.38,0.00,29.17,718.16,0.00
152,barista,3229.55,0.00,46.33,0.64,0.00
153,barista,3293.55,0.00,148.51,17.66,0.00
154,waiter,3302.91,0.00,70.90,9.36,0.00
155,barista,3321.22,0.00,62.83,225.70,0.00
156,waiter,3340.53,0.00,121.01,19.32,0.00
157,barista,3357.66,0.00,29.43,333.55,0.00
158,barista,3373.82,0.00,7.94,1423.96,0.00
159,waiter,3432.96,0.00,77.70,59.15,0.00
160,barista,3461.54,0.00,57.55,19.48,0.00
161,barista,3496.83,0.00,3.60,112.79,0.00
162,barista,3510.67,0.00,341.62,10.23,0.00
163,waiter,3524.59,0.00,72.06,63.05,0.00
164,barista,3596.65,0.00,29.30,77.56,0.00
165,waiter,3704.03,0.00,57.30,107.39,0.00
166,barista,3743.32,0.00,10.13,117.38,0.00
167,barista,3761.33,0.00,328.12,7.88,0.00
168,waiter,3959.44,0.00,217.19,198.11,0.00
169,waiter,3984.07,0.00,46.77,473.40,0.00
170,waiter,3985.59,0.00,11.88,627.93,0.00
171,barista,3997.47,0.00,26.88,145.19,0.00
172,waiter,4014.59,0.00,40.63,17.12,0.00
173,barista,4030.84,0.00,26.86,6.49,0.00
174,barista,4048.99,0.00,7.31,661.90,0.00
175,barista,4055.22,0.00,3.60,673.46,0.00
176,waiter,4059.11,0.00,12.69,28.27,0.00
177,barista,4071.80,0.00,91.51,14.10,0.00
178,waiter,4111.90,0.00,2.79,40.10,0.00
179,barista,4114.70,0.00,106.34,25.25,0.00
180,barista,4152.39,0.00,119.30,96.09,0.00
181,barista,4176.63,0.00,2.83,13.32,0.00
182,waiter,4189.79,0.00,133.42,13.16,0.00
183,waiter,4196.41,0.00,45.45,81.72,0.00
184,waiter,4229.04,0.00,42.49,173.83,0.00
185,barista,4234.10,0.00,141.50,13.07,0.00
186,barista,4241.86,0.00,83.44,62.40,0.00
187,barista,4262.87,0.00,80.14,204.06,0.00
188,barista,4271.69,0.16,2.66,0.00,0.16
189,waiter,4292.37,0.00,127.32,50.51,0.00
190,waiter,4321.64,0.00,54.94,50.11,0.00
191,barista,4323.22,0.00,8.94,48.86,0.00
192,barista,4349.84,0.00,123.13,24.54,0.00
193,barista,4361.35,0.00,1.77,29.20,0.00
194,barista,4376.59,0.00,162.55,0.98,0.00
195,waiter,4386.01,0.00,412.24,62.80,0.00
196,waiter,4391.12,0.00,61.12,14.53,0.00
197,barista,4397.02,0.00,80.80,33.89,0.00
198,barista,4419.69,0.00,1.09,76.68,0.00
199,barista,4424.80,0.00,18.52,4.01,0.00
200,waiter,4426.09,0.00,100.18,6.39,0.00
201,waiter,4435.26,0.00,21.61,1205.70,0.00
202,barista,4452.24,0.00,4.71,8.92,0.00
203,barista,4456.94,0.07,28.52,0.00,0.07
204,barista,4498.03,0.00,38.61,25.06,0.00
205,barista,4526.27,0.00,36.41,48.46,0.00
206,waiter,4548.90,0.00,52.05,22.63,0.00
207,barista,4561.68,0.00,20.80,22.55,0.00
208,barista,4581.64,0.00,88.34,45.00,0.00
209,barista,4600.94,0.00,36.78,18.46,0.00
210,waiter,4784.34,0.00,57.34,183.40,0.00
211,barista,4798.25,0.00,10.53,160.53,0.00
212,barista,4841.68,0.00,54.15,32.90,0.00
213,waiter,4866.55,0.00,5.89,68.30,0.00
214,barista,4872.45,0.00,95.99,202.46,0.00
215,waiter,5024.68,0.00,101.81,152.24,0.00
216,waiter,5089.40,0.00,31.89,247.72,0.00
217,barista,5121.29,0.00,19.58,225.46,0.00
218,barista,5126.50,0.00,14.56,158.06,0.00
219,waiter,5165.49,0.00,42.30,38.99,0.00
220,waiter,5178.71,0.00,46.60,57.42,0.00
221,barista,5207.79,0.00,71.61,66.92,0.00
222,barista,5215.17,0.00,7.68,74.11,0.00
223,barista,5225.32,0.00,24.19,2.47,0.00
224,waiter,5251.81,0.00,127.55,44.02,0.00
225,waiter,5312.67,0.00,11.93,87.35,0.00
226,waiter,5319.12,0.00,107.48,866.89,0.00
227,barista,5324.60,0.00,25.73,45.20,0.00
228,barista,5338.39,0.00,100.98,88.88,0.00
229,waiter,5347.39,0.00,36.99,22.79,0.00
230,barista,5379.36,0.00,172.92,29.03,0.00
231,barista,5384.38,0.00,98.18,821.71,0.00
232,waiter,5411.52,0.00,2.16,32.16,0.00
233,barista,5413.69,0.00,259.89,928.22,0.00
234,barista,5439.37,12.77,4.21,0.00,12.77
235,waiter,5470.86,0.00,28.34,57.17,0.00
236,barista,5499.20,0.00,55.98,55.62,0.00
237,waiter,5503.02,0.00,7.66,3.82,0.00
238,barista,5510.68,0.00,60.48,28.12,0.00
239,waiter,5546.95,0.00,107.17,36.27,0.00
240,waiter,5569.08,0.00,41.34,184.70,0.00
241,barista,5610.42,0.00,129.78,58.14,0.00
242,barista,5654.12,0.00,5.19,98.94,0.00
243,barista,5671.05,0.00,17.23,11.74,0.00
244,waiter,5713.56,0.00,76.93,59.44,0.00
245,waiter,5722.74,0.00,92.75,112.33,0.00
246,waiter,5788.49,0.00,101.81,361.89,0.00
247,barista,5790.48,0.00,95.75,50.29,0.00
248,waiter,5790.77,0.00,1.41,0.28,0.00
249,barista,5792.18,0.00,44.45,103.90,0.00
250,barista,5815.49,0.00,47.19,244.33,0.00
251,barista,5890.30,0.00,194.12,4.06,0.00
252,waiter,5973.82,0.00,79.15,181.64,0.00
253,waiter,5995.46,0.00,21.36,179.96,0.00
254,barista,6016.82,0.00,17.95,180.19,0.00
255,waiter,6040.84,0.00,224.02,24.02,0.00
256,barista,6052.97,0.00,68.62,18.20,0.00
257,waiter,6057.52,0.00,13.31,4.54,0.00
258,barista,6070.83,0.00,14.45,208.15,0.00
259,waiter,6166.00,0.00,67.19,95.17,0.00
260,waiter,6215.64,0.00,14.43,325.34,0.00
261,barista,6230.08,0.00,17.97,145.66,0.00
262,barista,6233.20,0.00,15.30,111.61,0.00
263,waiter,6243.87,0.00,25.17,10.67,0.00
264,barista,6264.86,0.00,3.20,16.81,0.00
265,barista,6269.04,0.00,28.71,0.98,0.00
266,barista,6292.01,0.00,2.09,43.52,0.00
267,waiter,6292.96,0.00,128.78,23.92,0.00
268,barista,6308.33,0.00,16.84,10.59,0.00
269,waiter,6404.83,0.00,84.11,139.97,0.00
270,barista,6421.74,0.00,15.56,96.56,0.00
271,waiter,6451.77,0.00,5.95,30.03,0.00
272,barista,6457.72,0.00,75.11,20.42,0.00
273,barista,6488.94,0.00,104.26,194.84,0.00
274,waiter,6517.95,0.00,16.10,60.23,0.00
275,barista,6524.50,0.00,38.14,439.21,0.00
276,waiter,6526.37,0.00,7.41,37.43,0.00
277,barista,6533.78,0.00,113.29,0.95,0.00
278,barista,6534.04,0.00,87.42,860.47,0.00
279,barista,6574.02,0.00,108.00,11.38,0.00
280,barista,6633.97,0.00,0.45,40.77,0.00
281,barista,6678.51,0.00,26.89,31.44,0.00
282,waiter,6739.61,0.00,30.59,205.57,0.00
283,waiter,6761.32,0.00,53.17,227.54,0.00
284,barista,6762.69,0.00,14.27,57.29,0.00
285,barista,6770.20,0.00,21.00,135.78,0.00
286,waiter,6770.33,0.00,19.44,0.13,0.00
287,waiter,6783.32,0.00,4.37,553.24,0.00
288,barista,6787.68,0.00,77.82,10.72,0.00
289,barista,6789.77,0.00,113.07,107.76,0.00
290,barista,6791.01,0.00,2.98,169.55,0.00
291,waiter,6804.07,0.00,97.69,14.31,0.00
292,waiter,6805.25,0.00,93.87,17.57,0.00
293,barista,6814.49,0.00,30.33,23.30,0.00
294,barista,6850.10,0.00,396.32,5.28,0.00
295,barista,6883.01,0.00,36.22,17.50,0.00
296,barista,6889.22,0.00,8.42,95.23,0.00
