order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
1,barista,12.27,0.00,162.16,12.27,0.00
2,waiter,28.30,0.00,100.67,28.30,0.00
3,barista,36.23,0.00,10.81,36.23,0.00
4,waiter,60.21,0.00,30.15,60.21,0.00
5,barista,90.37,0.00,88.28,43.33,0.00
6,barista,90.37,0.00,57.87,90.37,0.00
7,barista,90.37,0.00,8.60,90.37,0.00
8,barista,98.96,8.60,55.37,0.00,8.60
9,barista,148.23,51.82,5.33,0.00,51.82
10,barista,153.57,24.59,129.62,0.00,24.59
11,barista,154.34,25.37,39.17,0.00,25.37
12,barista,174.43,45.46,21.16,0.00,45.46
13,waiter,178.65,17.00,1.54,49.67,17.00
14,barista,180.19,0.00,56.68,1.54,0.00
15,barista,193.51,13.32,88.27,0.00,13.32
16,barista,208.24,0.00,71.46,12.66,0.00
17,waiter,213.60,0.00,134.80,33.41,0.00
18,waiter,224.57,0.00,92.47,134.20,0.00
19,waiter,228.45,0.00,20.89,228.45,0.00
20,waiter,229.39,0.00,13.11,229.39,0.00
21,waiter,233.30,0.00,21.47,233.30,0.00
22,waiter,241.97,0.00,16.84,241.97,0.00
23,barista,242.50,0.00,1.87,5.64,0.00
24,barista,244.37,1.87,110.50,0.00,1.87
25,barista,279.70,37.20,36.74,0.00,37.20
26,barista,281.78,32.44,26.52,0.00,32.44
27,barista,283.19,28.42,10.70,0.00,28.42
28,barista,293.89,39.11,271.76,0.00,39.11
29,barista,308.30,53.53,49.63,0.00,53.53
30,barista,316.44,61.66,31.69,0.00,61.66
31,barista,348.13,93.02,107.54,0.00,93.02
32,barista,354.87,96.06,57.87,0.00,96.06
33,waiter,357.93,89.81,155.91,9.53,89.81
34,waiter,357.93,84.28,55.82,40.89,84.28
35,waiter,357.93,60.53,107.39,108.59,60.53
36,waiter,357.93,52.31,69.95,115.43,52.31
37,barista,357.93,40.89,60.74,0.00,40.89
38,barista,412.74,64.34,33.55,0.00,64.34
39,barista,418.68,70.27,52.47,0.00,70.27
40,waiter,420.00,60.15,15.27,6.25,60.15
41,barista,446.30,49.52,8.05,0.00,49.52
42,barista,454.35,40.60,92.01,0.00,40.60
43,barista,455.67,27.78,24.04,0.00,27.78
44,barista,471.15,35.88,17.89,0.00,35.88
45,waiter,479.71,36.24,25.10,44.44,36.24
46,barista,479.71,14.39,19.25,0.00,14.39
47,waiter,480.21,0.00,14.88,14.89,0.00
48,waiter,487.12,0.00,80.72,59.24,0.00
49,barista,495.09,0.00,24.57,6.06,0.00
50,barista,504.81,0.00,218.85,5.85,0.00
51,barista,519.66,5.82,14.11,0.00,5.82
52,barista,567.84,0.00,86.65,21.49,0.00
53,waiter,677.52,0.00,30.65,163.68,0.00
54,barista,708.17,0.00,4.57,53.68,0.00
55,waiter,867.36,0.00,25.15,159.19,0.00
56,barista,892.50,0.00,42.66,168.84,0.00
57,waiter,894.18,0.00,78.63,1.68,0.00
58,waiter,954.58,0.00,74.61,449.77,0.00
59,waiter,959.52,0.00,18.52,464.43,0.00
60,barista,972.81,0.00,31.67,37.65,0.00
61,barista,978.04,0.00,175.71,265.30,0.00
62,barista,1029.19,0.00,15.14,24.71,0.00
63,barista,1062.60,0.00,149.84,18.27,0.00
64,waiter,1066.88,0.00,11.32,94.06,0.00
65,barista,1078.20,0.00,0.57,512.56,0.00
66,waiter,1177.29,0.00,138.94,99.09,0.00
67,waiter,1209.28,0.00,50.48,180.10,0.00
68,barista,1259.76,0.00,166.55,47.32,0.00
69,waiter,1280.15,0.00,104.16,20.39,0.00
70,barista,1316.23,0.00,37.77,162.48,0.00
71,barista,1384.31,0.00,3.38,30.31,0.00
72,waiter,1390.57,0.00,16.46,74.33,0.00
73,waiter,1391.86,0.00,3.40,7.55,0.00
