order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
1,waiter,39.90,0.00,28.00,39.90,0.00
2,barista,56.80,0.00,20.98,56.80,0.00
3,waiter,65.99,0.00,40.09,65.99,0.00
4,barista,67.91,0.00,151.09,67.91,0.00
5,barista,67.91,0.00,274.43,67.91,0.00
6,barista,67.91,0.00,7.25,67.91,0.00
7,waiter,68.28,0.00,63.06,0.37,0.00
8,waiter,69.66,0.00,361.20,69.66,0.00
9,barista,97.89,0.00,21.10,20.11,0.00
10,waiter,98.63,0.00,64.47,98.63,0.00
11,waiter,102.93,0.00,27.15,102.93,0.00
12,barista,106.08,0.00,44.55,30.92,0.00
13,barista,118.99,12.91,38.98,0.00,12.91
14,barista,150.63,44.55,49.65,0.00,44.55
15,barista,157.97,27.88,26.63,0.00,27.88
16,barista,184.60,53.26,108.33,0.00,53.26
17,barista,200.27,68.94,75.47,0.00,68.94
18,barista,218.99,55.89,199.48,0.00,55.89
19,waiter,240.00,35.86,45.76,108.66,35.86
20,barista,275.74,70.14,89.34,0.00,70.14
21,waiter,285.76,68.82,23.36,0.00,68.82
22,waiter,285.76,36.16,261.33,179.68,36.16
23,waiter,285.76,31.74,276.16,122.66,31.74
24,waiter,285.76,15.06,44.15,155.67,15.06
25,barista,292.93,7.17,33.50,0.00,7.17
26,waiter,293.20,0.00,7.58,293.20,0.00
27,waiter,298.84,0.00,24.23,298.84,0.00
28,barista,326.43,25.65,25.14,0.00,25.65
29,barista,342.33,41.55,48.61,0.00,41.55
30,barista,351.57,42.44,25.80,0.00,42.44
31,barista,365.08,42.01,4.96,0.00,42.01
32,barista,370.05,46.98,0.35,0.00,46.98
33,waiter,370.39,41.58,75.73,61.27,41.58
34,barista,370.39,40.48,46.31,0.00,40.48
35,waiter,380.62,0.00,82.35,50.71,0.00
36,barista,406.06,0.00,8.71,28.69,0.00
37,waiter,410.31,0.00,170.51,109.53,0.00
38,barista,425.14,0.00,5.54,10.36,0.00
39,barista,430.85,0.00,92.53,0.18,0.00
40,barista,430.85,0.00,28.69,12.38,0.00
41,barista,446.13,0.00,132.45,55.18,0.00
42,waiter,458.91,0.00,143.91,12.78,0.00
43,barista,462.97,0.00,6.28,3.42,0.00
44,waiter,467.07,0.00,25.42,36.21,0.00
45,barista,492.49,0.00,0.56,23.24,0.00
46,waiter,503.93,0.00,39.86,11.44,0.00
47,waiter,521.62,0.00,107.80,58.65,0.00
48,barista,543.79,0.00,48.99,20.40,0.00
49,barista,547.09,0.00,107.39,54.04,0.00
50,barista,561.92,0.00,163.20,145.21,0.00
51,waiter,565.37,0.00,13.59,18.28,0.00
52,barista,578.96,0.00,69.35,0.39,0.00
53,barista,592.78,11.96,12.15,0.00,11.96
54,barista,604.94,2.12,50.11,0.00,2.12
55,barista,648.32,18.90,77.98,0.00,18.90
56,waiter,658.98,0.00,75.15,56.17,0.00
57,barista,678.30,0.00,26.30,23.26,0.00
58,barista,734.13,0.00,13.68,29.53,0.00
