order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
123,barista,2671.21,0.00,95.55,78.27,0.00
124,waiter,2679.28,0.00,48.47,8.07,0.00
125,waiter,2680.75,0.00,84.46,317.35,0.00
126,barista,2727.76,0.00,129.13,344.01,0.00
127,barista,2765.21,0.00,107.05,496.20,0.00
128,waiter,2777.45,0.00,5.92,49.69,0.00
129,barista,2783.36,0.00,16.14,16.60,0.00
130,waiter,2809.54,0.00,41.48,26.18,0.00
131,barista,2850.33,0.00,192.33,63.53,0.00
132,barista,2851.02,0.00,71.91,51.51,0.00
133,waiter,2891.17,0.00,31.54,40.15,0.00
134,barista,2922.71,0.00,16.34,65.82,0.00
135,waiter,2972.31,0.00,117.72,49.60,0.00
136,barista,3028.78,0.00,49.03,105.85,0.00
137,barista,3090.03,0.00,28.16,47.37,0.00
138,waiter,3097.29,0.00,98.51,7.26,0.00
139,waiter,3109.07,0.00,8.06,343.86,0.00
140,barista,3117.12,0.00,57.45,39.32,0.00
141,waiter,3184.20,0.00,31.62,67.07,0.00
142,barista,3195.81,0.00,21.58,77.61,0.00
143,barista,3215.82,0.00,15.69,41.24,0.00
144,waiter,3249.86,0.00,66.39,54.06,0.00
145,barista,3316.25,0.00,78.22,98.87,0.00
146,barista,3344.07,0.00,176.39,112.56,0.00
147,barista,3392.79,0.00,107.08,453.75,0.00
148,waiter,3436.34,0.00,143.08,120.09,0.00
149,waiter,3512.55,0.00,52.66,296.73,0.00
150,barista,3547.07,0.00,28.42,152.59,0.00
151,barista,3565.20,0.00,45.37,44.75,0.00
152,barista,3579.43,0.00,20.28,3.94,0.00
153,waiter,3636.78,0.00,70.37,57.35,0.00
154,waiter,3688.41,0.00,27.28,123.21,0.00
155,barista,3707.15,0.00,80.71,107.45,0.00
156,waiter,3707.29,0.00,145.58,0.13,0.00
157,barista,3715.69,0.00,30.55,105.12,0.00
158,waiter,3790.43,0.00,6.63,74.74,0.00
159,barista,3793.29,0.00,82.00,5.43,0.00
160,barista,3797.06,0.00,61.02,50.82,0.00
161,waiter,3803.12,0.00,28.06,6.06,0.00
162,barista,3831.19,0.00,25.09,331.31,0.00
163,barista,3852.87,0.00,18.39,980.61,0.00
164,waiter,3855.13,0.00,45.45,2.26,0.00
165,waiter,3856.40,0.00,7.22,25.21,0.00
166,waiter,3861.22,0.00,18.20,1421.50,0.00
167,barista,3863.62,0.00,28.28,5.54,0.00
168,barista,3879.42,0.00,75.75,4.12,0.00
169,waiter,3880.21,0.00,36.22,16.59,0.00
170,barista,3900.58,0.00,134.73,8.68,0.00
171,barista,3916.43,0.00,5.60,60.15,0.00
172,waiter,3930.70,0.00,22.15,30.12,0.00
173,barista,3952.85,0.00,74.01,30.82,0.00
174,barista,3955.31,0.00,17.22,0.14,0.00
175,waiter,4005.10,0.00,47.83,52.25,0.00
176,barista,4018.71,0.00,30.19,46.18,0.00
177,waiter,4019.48,0.00,8.35,103.06,0.00
178,barista,4027.83,0.00,21.29,0.98,0.00
179,barista,4047.60,0.00,126.29,12.29,0.00
180,barista,4052.93,0.00,28.53,4.02,0.00
181,barista,4063.13,0.00,20.84,14.00,0.00
182,barista,4091.76,0.00,37.21,10.30,0.00
183,waiter,4187.06,0.00,2.65,134.14,0.00
184,barista,4189.72,0.00,225.31,60.75,0.00
185,waiter,4226.06,0.00,0.12,36.34,0.00
186,barista,4226.18,0.00,99.56,52.29,0.00
187,waiter,4276.39,0.00,68.52,50.21,0.00
188,waiter,4294.20,0.00,101.19,266.37,0.00
189,barista,4344.91,0.00,235.86,19.18,0.00
190,waiter,4380.49,0.00,73.69,35.57,0.00
191,barista,4395.39,0.00,80.05,311.42,0.00
192,waiter,4398.27,0.00,2.74,2.88,0.00
193,barista,4401.01,0.00,6.12,529.75,0.00
194,barista,4454.18,0.00,187.09,39.16,0.00
195,barista,4497.45,0.00,8.38,22.01,0.00
196,barista,4536.29,0.00,0.62,30.46,0.00
197,barista,4590.07,0.00,157.64,9.30,0.00
198,waiter,4609.68,0.00,120.25,155.50,0.00
199,waiter,4639.92,0.00,62.67,238.91,0.00
200,waiter,4682.66,0.00,40.25,803.24,0.00
201,barista,4702.59,0.00,242.67,61.32,0.00
202,barista,4722.91,0.00,38.62,186.00,0.00
203,barista,4729.93,0.00,17.74,322.80,0.00
204,waiter,4765.80,0.00,2.80,35.87,0.00
205,barista,4768.60,0.00,46.57,20.90,0.00
206,waiter,4782.41,0.00,165.51,13.80,0.00
207,waiter,4796.98,0.00,4.80,94.40,0.00
208,waiter,4797.49,0.00,342.33,74.57,0.00
209,barista,4801.78,0.00,8.81,40.24,0.00
210,barista,4818.00,0.00,33.98,2.82,0.00
211,waiter,4860.93,0.00,38.34,59.15,0.00
212,barista,4899.27,0.00,62.58,47.30,0.00
213,waiter,4936.76,0.00,2.68,37.48,0.00
214,barista,4939.43,0.00,2.49,128.84,0.00
215,barista,4947.92,0.00,23.12,2.66,0.00
216,barista,4993.51,0.00,26.48,22.47,0.00
217,barista,5074.39,0.00,140.08,54.40,0.00
218,waiter,5122.51,0.00,80.07,174.59,0.00
219,waiter,5124.87,0.00,40.26,185.43,0.00
220,barista,5139.82,0.00,44.29,177.96,0.00
221,barista,5153.63,0.00,55.63,211.70,0.00
222,barista,5165.13,0.00,155.26,417.45,0.00
223,barista,5202.58,0.00,117.59,18.48,0.00
224,waiter,5251.21,0.00,75.32,48.63,0.00
225,waiter,5271.94,0.00,178.43,106.81,0.00
226,waiter,5298.80,0.00,4.94,158.99,0.00
227,barista,5303.74,0.00,14.80,89.27,0.00
228,waiter,5308.69,0.00,7.65,4.95,0.00
229,barista,5316.34,0.00,71.62,107.08,0.00
230,barista,5326.53,0.00,61.85,7.98,0.00
231,waiter,5400.52,0.00,5.38,73.99,0.00
232,barista,5405.90,0.00,84.25,17.52,0.00
233,waiter,5423.18,0.00,121.34,17.28,0.00
234,waiter,5431.21,0.00,15.70,114.87,0.00
235,barista,5446.91,0.00,24.98,126.74,0.00
236,barista,5450.37,0.00,52.65,62.41,0.00
237,barista,5459.49,0.00,91.19,139.10,0.00
238,waiter,5479.25,0.00,71.02,28.88,0.00
239,waiter,5482.51,0.00,350.03,35.60,0.00
240,barista,5544.52,0.00,96.42,54.37,0.00
241,barista,5550.27,0.00,34.52,78.38,0.00
242,waiter,5604.20,0.00,36.03,59.68,0.00
243,barista,5607.02,0.00,77.87,22.22,0.00
244,barista,5640.23,0.00,18.89,137.22,0.00
245,barista,5653.07,0.00,43.62,12.14,0.00
246,waiter,5698.12,0.00,37.69,57.90,0.00
247,waiter,5703.02,0.00,47.75,152.74,0.00
248,barista,5735.81,0.00,27.14,39.12,0.00
249,barista,5750.77,0.00,240.33,65.88,0.00
250,waiter,5829.90,0.00,91.06,94.09,0.00
251,barista,5832.55,0.00,30.00,69.59,0.00
252,barista,5920.96,0.00,3.85,58.41,0.00
253,waiter,5990.12,0.00,46.17,69.16,0.00
254,barista,6036.28,0.00,114.21,111.47,0.00
255,barista,6042.03,0.00,38.65,50.93,0.00
256,barista,6121.40,0.00,38.92,40.72,0.00
257,waiter,6123.88,0.00,28.54,87.59,0.00
258,barista,6142.08,0.00,18.14,482.97,0.00
259,waiter,6144.38,0.00,19.85,393.61,0.00
260,barista,6152.42,0.00,250.29,1.93,0.00
261,waiter,6154.68,0.00,77.18,2.26,0.00
262,barista,6164.23,0.00,33.58,3.92,0.00
263,barista,6181.83,0.00,47.46,21.61,0.00
264,barista,6228.89,0.00,82.58,31.08,0.00
265,barista,6231.86,0.00,129.94,2.58,0.00
266,waiter,6263.42,0.00,87.55,31.56,0.00
267,barista,6350.97,0.00,45.99,39.50,0.00
268,waiter,6454.23,0.00,0.85,103.26,0.00
269,barista,6455.07,0.00,2.02,52.36,0.00
270,waiter,6460.84,0.00,83.75,5.77,0.00
271,barista,6501.20,0.00,131.27,44.10,0.00
272,barista,6530.56,0.00,22.35,133.60,0.00
273,waiter,6531.29,0.00,25.54,367.06,0.00
274,barista,6544.59,0.00,75.53,182.79,0.00
275,barista,6556.84,0.00,55.01,3.93,0.00
276,waiter,6636.76,0.00,12.35,92.17,0.00
277,barista,6640.57,0.00,29.21,8.10,0.00
278,barista,6649.11,0.00,10.16,37.27,0.00
279,waiter,6674.48,0.00,18.73,25.36,0.00
280,barista,6693.21,0.00,49.75,23.43,0.00
281,waiter,6709.99,0.00,55.28,16.78,0.00
282,barista,6714.03,0.00,31.41,54.76,0.00
283,waiter,6733.36,0.00,93.93,176.53,0.00
284,barista,6765.27,0.00,8.17,22.31,0.00
285,barista,6766.51,0.00,33.41,21.06,0.00
286,barista,6774.70,0.00,5.14,1.26,0.00
287,barista,6827.29,0.00,88.84,47.45,0.00
288,waiter,6829.55,0.00,2.24,64.28,0.00
289,barista,6831.79,0.00,3.10,31.88,0.00
290,waiter,6852.74,0.00,10.12,20.95,0.00
291,barista,6862.86,0.00,8.16,27.96,0.00
292,barista,6863.72,0.00,34.14,243.61,0.00
293,barista,6924.16,0.00,161.32,8.03,0.00
294,barista,6971.30,0.00,1.72,100.28,0.00
295,waiter,6977.07,0.00,9.61,114.21,0.00
296,barista,6986.68,0.00,69.94,13.66,0.00
297,barista,7022.79,0.00,73.19,124.93,0.00
298,waiter,7055.18,0.00,38.50,68.50,0.00
299,barista,7093.68,0.00,67.04,8.20,0.00
300,waiter,7164.24,0.00,22.41,70.56,0.00
301,barista,7186.65,0.00,10.04,25.94,0.00
302,waiter,7245.58,0.00,15.87,58.93,0.00
303,barista,7261.46,0.00,41.34,64.77,0.00
304,barista,7310.27,0.00,82.29,7.47,0.00
305,waiter,7352.32,0.00,95.64,90.86,0.00
306,barista,7447.96,0.00,10.89,55.40,0.00
307,barista,7524.96,0.00,18.38,66.12,0.00
308,waiter,7526.47,0.00,70.67,78.51,0.00
309,barista,7597.14,0.00,3.19,53.80,0.00
310,waiter,7624.18,0.00,0.75,27.04,0.00
