order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
1,waiter,0.32,0.00,0.44,0.32,0.00
2,barista,0.76,0.00,85.34,0.76,0.00
3,barista,0.76,0.00,102.60,0.76,0.00
4,barista,0.76,0.00,126.98,0.76,0.00
5,barista,0.76,0.00,36.62,0.76,0.00
6,barista,70.31,0.00,21.16,32.92,0.00
7,waiter,89.86,0.00,1.71,89.09,0.00
8,waiter,90.89,0.00,10.50,90.89,0.00
9,barista,91.57,0.00,72.22,5.47,0.00
10,barista,91.57,0.00,97.20,0.10,0.00
11,barista,103.36,11.79,32.66,0.00,11.79
12,barista,127.74,26.35,205.40,0.00,26.35
13,barista,136.03,34.64,34.60,0.00,34.64
14,barista,163.79,62.26,3.38,0.00,62.26
15,waiter,167.17,43.67,13.37,75.60,43.67
16,waiter,167.17,33.23,26.16,65.78,33.23
17,waiter,167.17,20.77,130.16,167.17,20.77
18,barista,170.55,0.00,12.24,3.38,0.00
19,barista,180.54,0.00,34.22,9.91,0.00
20,barista,182.79,2.25,2.51,0.00,2.25
21,barista,185.30,4.76,2.22,0.00,4.76
22,barista,193.33,0.00,53.66,5.81,0.00
23,barista,193.33,0.00,14.86,4.55,0.00
24,barista,208.19,12.56,182.34,0.00,12.56
25,barista,243.54,0.00,42.97,28.78,0.00
26,waiter,255.79,0.00,6.30,75.26,0.00
27,barista,262.10,0.00,0.86,15.11,0.00
28,barista,262.96,0.86,9.67,0.00,0.86
29,barista,297.33,0.00,51.50,24.70,0.00
30,barista,297.33,0.00,52.35,10.82,0.00
31,waiter,326.75,0.00,22.83,64.66,0.00
32,barista,339.32,0.00,38.16,6.18,0.00
33,barista,349.59,0.00,41.75,0.76,0.00
34,barista,349.68,0.09,2.55,0.00,0.09
35,barista,352.23,2.65,75.20,0.00,2.65
36,waiter,370.24,0.00,108.30,20.65,0.00
37,barista,379.91,0.00,38.92,2.43,0.00
38,waiter,423.55,0.00,86.50,230.22,0.00
39,barista,478.54,0.00,141.22,87.20,0.00
40,barista,510.06,0.00,82.78,82.62,0.00
41,waiter,535.36,0.00,66.05,56.82,0.00
42,barista,601.41,0.00,20.01,8.57,0.00
43,barista,601.41,0.00,19.90,182.58,0.00
44,waiter,615.29,0.00,1.88,13.88,0.00
45,barista,617.17,0.00,30.65,226.64,0.00
46,waiter,630.25,0.00,33.69,13.08,0.00
47,waiter,634.10,0.00,122.52,124.05,0.00
48,barista,663.95,0.00,23.57,44.18,0.00
49,barista,665.62,0.00,134.72,44.20,0.00
50,barista,683.58,0.00,121.00,62.26,0.00
51,waiter,701.48,0.00,108.27,37.53,0.00
52,barista,756.62,0.00,103.50,69.11,0.00
53,barista,809.75,0.00,23.83,9.41,0.00
54,waiter,894.76,0.00,92.25,85.01,0.00
55,waiter,986.59,0.00,52.76,229.97,0.00
56,barista,987.01,0.00,129.52,126.88,0.00
57,barista,1039.35,0.00,66.19,205.77,0.00
58,waiter,1061.28,0.00,188.79,74.27,0.00
59,waiter,1078.23,0.00,22.63,38.88,0.00
60,barista,1084.81,0.00,78.83,280.23,0.00
61,barista,1100.87,0.00,146.87,453.05,0.00
62,barista,1164.90,0.00,6.16,48.36,0.00
63,barista,1250.07,0.00,1.88,79.02,0.00
64,waiter,1253.82,0.00,19.71,3.75,0.00
65,barista,1273.53,0.00,75.06,21.58,0.00
66,waiter,1295.83,0.00,91.10,22.30,0.00
67,barista,1386.93,0.00,11.02,38.34,0.00
68,barista,1514.91,0.00,18.64,116.96,0.00
69,waiter,1546.68,0.00,199.08,159.75,0.00
70,waiter,1559.85,0.00,27.19,458.98,0.00
71,barista,1587.04,0.00,214.77,53.49,0.00
72,barista,1641.95,0.00,142.79,536.41,0.00
73,waiter,1694.11,0.00,59.41,107.07,0.00
74,waiter,1739.96,0.00,6.41,1442.64,0.00
75,barista,1745.76,0.00,206.66,582.12,0.00
76,barista,1746.37,0.00,8.38,498.64,0.00
77,barista,1754.75,1.24,5.11,0.00,1.24
78,waiter,1755.49,0.00,74.18,9.74,0.00
79,waiter,1810.48,0.00,0.84,56.97,0.00
80,barista,1811.32,0.00,85.26,9.51,0.00
81,barista,1829.68,0.00,118.29,44.94,0.00
82,barista,1836.54,0.00,8.35,76.68,0.00
83,waiter,1927.69,0.00,75.82,98.01,0.00
84,waiter,1934.47,0.00,193.71,123.15,0.00
85,waiter,1948.93,0.00,110.33,202.56,0.00
86,barista,2003.51,0.00,15.11,106.94,0.00
