order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
1,waiter,18.58,0.00,37.17,18.58,0.00
2,waiter,34.36,0.00,51.36,34.36,0.00
3,waiter,37.84,0.00,271.45,37.84,0.00
4,barista,55.75,0.00,95.11,55.75,0.00
5,barista,55.75,0.00,283.89,55.75,0.00
6,barista,55.75,0.00,24.13,55.75,0.00
7,barista,55.75,0.00,27.42,55.75,0.00
8,barista,79.88,16.31,53.74,0.00,16.31
9,barista,83.17,11.78,44.33,0.00,11.78
10,waiter,84.48,6.19,10.37,28.73,6.19
11,waiter,84.48,0.00,7.23,84.48,0.00
12,barista,127.50,41.79,298.17,0.00,41.79
13,barista,133.62,47.91,27.99,0.00,47.91
14,barista,150.86,65.15,80.99,0.00,65.15
15,barista,161.61,69.90,38.57,0.00,69.90
16,barista,200.18,108.47,17.85,0.00,108.47
17,barista,218.03,126.31,11.91,0.00,126.31
18,barista,229.94,138.22,23.65,0.00,138.22
19,barista,231.85,137.00,1.72,0.00,137.00
20,barista,233.57,138.73,27.11,0.00,138.73
21,waiter,240.00,141.56,4.34,145.15,141.56
22,waiter,240.00,130.85,5.37,154.29,130.85
23,barista,253.59,143.79,95.94,0.00,143.79
24,waiter,260.69,105.90,5.40,16.34,105.90
25,waiter,260.69,88.80,72.40,15.31,88.80
26,waiter,260.69,74.30,0.00,168.97,74.30
27,barista,260.69,49.53,60.39,0.00,49.53
28,barista,321.08,76.74,111.57,0.00,76.74
29,barista,339.64,95.30,12.05,0.00,95.30
30,barista,349.53,104.15,64.60,0.00,104.15
31,barista,351.69,91.00,1.82,0.00,91.00
32,barista,353.51,87.43,31.14,0.00,87.43
33,barista,384.66,118.58,8.46,0.00,118.58
34,barista,393.12,127.03,21.17,0.00,127.03
35,waiter,402.37,128.07,65.47,136.29,128.07
36,barista,414.13,139.83,1.90,0.00,139.83
37,barista,414.29,105.00,102.42,0.00,105.00
38,waiter,416.03,106.08,130.00,82.94,106.08
39,barista,416.03,82.94,40.42,0.00,82.94
40,barista,425.67,92.58,17.97,0.00,92.58
41,barista,432.65,60.49,101.30,0.00,60.49
42,waiter,441.40,39.02,203.43,132.11,39.02
43,waiter,441.40,0.00,10.99,180.70,0.00
44,barista,452.38,0.00,32.80,8.74,0.00
45,waiter,463.27,0.00,138.40,10.89,0.00
46,barista,467.84,0.00,19.14,11.39,0.00
47,waiter,486.83,0.00,123.07,18.99,0.00
48,waiter,496.47,0.00,318.31,496.47,0.00
49,barista,512.76,0.00,45.31,25.78,0.00
50,barista,529.96,0.00,117.29,13.26,0.00
51,barista,546.03,0.00,36.86,12.08,0.00
52,barista,583.28,0.00,115.24,0.39,0.00
53,barista,601.67,0.00,11.75,43.61,0.00
54,barista,609.90,0.00,49.50,124.72,0.00
55,barista,644.83,0.00,33.21,31.41,0.00
56,barista,814.78,0.00,142.16,116.25,0.00
57,waiter,1249.05,0.00,149.71,639.15,0.00
58,waiter,1267.15,0.00,107.55,721.11,0.00
59,waiter,1277.47,0.00,53.48,632.64,0.00
60,waiter,1299.24,0.00,13.86,697.57,0.00
61,waiter,1299.47,0.00,34.48,484.69,0.00
62,waiter,1301.62,0.00,19.29,1301.62,0.00
63,barista,1313.10,0.00,83.84,356.17,0.00
64,barista,1320.91,0.00,194.77,673.66,0.00
65,barista,1320.91,0.00,33.43,642.88,0.00
