order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
1,waiter,5.06,0.00,21.44,5.06,0.00
2,waiter,9.67,0.00,3.80,9.67,0.00
3,barista,13.47,0.00,2.16,13.47,0.00
4,barista,13.47,0.00,45.73,13.47,0.00
5,barista,26.50,0.00,229.83,10.87,0.00
6,barista,29.19,0.00,128.56,29.19,0.00
7,waiter,54.13,0.00,85.10,27.62,0.00
8,waiter,70.28,0.00,146.37,56.81,0.00
9,waiter,112.84,0.00,77.71,112.84,0.00
10,waiter,114.37,0.00,280.03,114.37,0.00
11,waiter,114.98,0.00,126.30,114.98,0.00
12,waiter,128.15,0.00,22.04,128.15,0.00
13,barista,138.91,0.00,73.98,79.70,0.00
14,barista,139.22,0.00,16.87,139.22,0.00
15,barista,156.10,5.91,100.10,0.00,5.91
16,barista,157.75,7.56,49.00,0.00,7.56
17,barista,206.75,56.56,30.94,0.00,56.56
18,waiter,212.88,38.30,98.91,73.66,38.30
19,barista,212.88,22.34,8.96,0.00,22.34
20,barista,221.85,5.19,116.62,0.00,5.19
21,barista,237.69,21.03,132.69,0.00,21.03
22,barista,256.20,22.94,26.08,0.00,22.94
23,waiter,256.33,18.30,56.63,39.68,18.30
24,barista,256.33,15.05,10.31,0.00,15.05
25,barista,266.65,25.37,38.73,0.00,25.37
26,barista,282.28,41.00,114.46,0.00,41.00
27,barista,305.38,50.61,69.04,0.00,50.61
28,waiter,311.06,53.08,6.99,120.51,53.08
29,barista,338.47,79.79,20.33,0.00,79.79
30,waiter,358.79,80.44,41.47,47.00,80.44
31,waiter,358.79,59.12,25.25,45.83,59.12
32,waiter,358.79,47.74,37.10,40.75,47.74
33,barista,358.79,47.00,237.37,0.00,47.00
34,barista,370.38,58.59,5.91,0.00,58.59
35,barista,374.42,62.62,93.63,0.00,62.62
36,barista,376.29,63.32,33.99,0.00,63.32
37,barista,396.73,78.69,8.98,0.00,78.69
38,waiter,400.26,80.66,4.95,0.00,80.66
39,waiter,400.26,67.50,17.54,16.21,67.50
40,waiter,400.26,37.31,25.99,4.36,37.31
41,barista,405.72,21.67,10.16,0.00,21.67
42,barista,410.28,26.23,75.60,0.00,26.23
43,barista,415.87,21.47,2.74,0.00,21.47
44,barista,418.62,22.72,28.72,0.00,22.72
45,barista,447.33,47.07,9.89,0.00,47.07
46,barista,457.23,52.02,3.80,0.00,52.02
47,waiter,461.03,55.34,80.63,55.82,55.34
48,barista,461.03,49.89,25.56,0.00,49.89
49,barista,468.05,50.25,0.68,0.00,50.25
50,barista,468.73,42.48,59.15,0.00,42.48
51,waiter,480.00,41.94,16.76,62.20,41.94
52,barista,496.76,0.00,9.19,10.88,0.00
53,barista,541.66,0.00,87.89,13.78,0.00
54,waiter,556.24,0.00,17.52,14.58,0.00
55,barista,573.76,0.00,149.65,67.82,0.00
56,waiter,696.74,0.00,127.92,122.98,0.00
57,barista,824.67,0.00,28.39,195.12,0.00
58,waiter,892.99,0.00,7.02,68.32,0.00
59,barista,900.01,0.00,10.76,46.96,0.00
60,waiter,923.86,0.00,46.31,23.85,0.00
61,barista,970.18,0.00,47.82,59.40,0.00
62,waiter,1152.40,0.00,1.72,182.23,0.00
63,barista,1154.12,0.00,70.86,136.12,0.00
64,waiter,1186.70,0.00,40.25,32.58,0.00
65,barista,1226.95,0.00,0.76,1.97,0.00
66,waiter,1237.55,0.00,60.99,10.60,0.00
67,waiter,1281.67,0.00,13.49,784.91,0.00
68,barista,1295.16,0.00,23.61,67.45,0.00
69,barista,1298.54,0.00,16.63,702.38,0.00
70,waiter,1302.42,0.00,160.50,3.88,0.00
71,waiter,1314.41,0.00,149.67,19.25,0.00
72,barista,1337.80,0.00,524.08,19.04,0.00
73,barista,1462.92,0.00,31.84,147.75,0.00
