order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
1,waiter,18.06,0.00,33.68,18.06,0.00
2,waiter,39.18,0.00,52.05,39.18,0.00
3,barista,51.74,0.00,267.40,51.74,0.00
4,barista,51.74,0.00,116.77,51.74,0.00
5,barista,91.23,0.00,169.77,91.23,0.00
6,barista,91.23,0.00,11.60,91.23,0.00
7,barista,102.83,11.60,61.99,0.00,11.60
8,waiter,108.06,0.00,51.93,56.32,0.00
9,waiter,133.28,0.00,16.25,42.05,0.00
10,barista,164.82,15.29,90.73,0.00,15.29
11,barista,168.50,18.97,32.64,0.00,18.97
12,barista,201.14,51.61,124.91,0.00,51.61
13,barista,255.55,95.56,14.58,0.00,95.56
14,barista,261.01,101.02,210.86,0.00,101.02
15,waiter,262.31,45.74,42.39,102.32,45.74
16,waiter,262.31,31.14,76.15,112.78,31.14
17,waiter,262.31,28.49,9.94,262.31,28.49
18,barista,270.13,7.82,183.86,0.00,7.82
19,barista,319.14,46.89,2.25,0.00,46.89
20,waiter,321.39,38.03,80.33,16.69,38.03
21,waiter,321.39,28.97,169.28,49.14,28.97
22,barista,321.39,16.69,177.15,0.00,16.69
23,barista,326.05,21.35,159.61,0.00,21.35
24,barista,453.99,149.29,7.75,0.00,149.29
25,barista,461.74,152.76,14.04,0.00,152.76
26,waiter,471.87,146.48,24.49,70.15,146.48
27,barista,471.87,133.41,10.54,0.00,133.41
28,barista,475.78,137.32,98.70,0.00,137.32
29,barista,482.41,140.95,66.41,0.00,140.95
30,barista,485.66,127.84,133.02,0.00,127.84
31,waiter,490.67,112.70,7.57,152.21,112.70
32,waiter,490.67,103.82,72.31,0.00,103.82
33,waiter,490.67,99.83,131.78,490.67,99.83
34,barista,498.55,96.83,104.44,0.00,96.83
35,waiter,540.00,126.01,17.43,43.64,126.01
36,waiter,540.00,124.26,68.57,41.76,124.26
37,waiter,540.00,97.96,28.64,540.00,97.96
38,barista,548.82,58.15,59.93,0.00,58.15
39,barista,574.48,78.12,26.68,0.00,78.12
40,barista,601.15,102.91,17.13,0.00,102.91
41,barista,602.98,104.75,5.70,0.00,104.75
42,barista,608.68,110.44,141.22,0.00,110.44
43,barista,608.75,51.32,32.93,0.00,51.32
44,barista,618.29,55.31,35.69,0.00,55.31
45,barista,618.68,50.04,38.67,0.00,50.04
46,waiter,622.45,53.44,22.52,65.02,53.44
47,barista,641.67,66.33,22.42,0.00,66.33
48,barista,653.98,45.41,20.63,0.00,45.41
49,barista,657.35,34.90,30.38,0.00,34.90
50,barista,664.09,19.12,26.95,0.00,19.12
51,waiter,677.30,0.00,160.63,32.32,0.00
52,waiter,723.18,0.00,2.73,114.61,0.00
53,barista,725.91,0.00,386.84,38.19,0.00
54,barista,725.91,0.00,29.77,34.87,0.00
55,barista,795.40,0.00,134.96,45.50,0.00
56,barista,837.93,0.00,108.36,82.24,0.00
57,barista,869.75,0.00,11.10,195.14,0.00
58,waiter,895.39,0.00,9.28,57.47,0.00
59,barista,904.67,0.00,32.23,23.82,0.00
60,barista,930.52,0.00,128.11,0.15,0.00
61,barista,1064.22,0.00,81.30,5.60,0.00
62,waiter,1084.29,0.00,36.22,179.62,0.00
63,barista,1120.51,0.00,417.07,7.75,0.00
64,waiter,1253.20,0.00,32.31,132.69,0.00
65,barista,1285.50,0.00,121.70,139.98,0.00
66,waiter,1345.76,0.00,92.97,60.25,0.00
67,barista,1438.72,0.00,21.28,31.52,0.00
68,waiter,1440.25,0.00,101.01,1.53,0.00
69,waiter,1481.17,0.00,22.97,755.26,0.00
70,barista,1504.14,0.00,35.30,44.14,0.00
71,waiter,1539.73,0.00,3.78,35.58,0.00
72,barista,1541.26,0.00,24.92,1.82,0.00
73,barista,1543.51,0.00,47.75,5.93,0.00
74,waiter,1568.09,0.00,59.99,26.83,0.00
75,waiter,1587.06,0.00,57.62,43.55,0.00
76,waiter,1589.59,0.00,47.28,1026.61,0.00
77,barista,1628.09,0.00,6.65,61.90,0.00
78,barista,1636.87,0.00,16.31,2.13,0.00
79,waiter,1641.14,0.00,168.06,13.05,0.00
80,barista,1644.68,0.00,438.56,53.42,0.00
81,barista,1737.93,0.00,13.26,84.74,0.00
82,waiter,1796.41,0.00,137.27,151.73,0.00
83,barista,1809.20,0.00,78.86,58.02,0.00
84,barista,1813.82,0.00,107.12,867.53,0.00
85,waiter,1849.40,0.00,7.22,40.20,0.00
86,barista,1856.62,0.00,36.51,919.72,0.00
87,barista,1933.68,0.00,11.56,45.62,0.00
88,barista,2050.74,0.00,30.82,105.50,0.00
89,waiter,2109.04,0.00,50.04,252.42,0.00
90,barista,2143.38,0.00,139.15,61.81,0.00
91,barista,2159.08,0.00,54.78,75.84,0.00
92,barista,2170.34,0.00,27.38,249.40,0.00
93,waiter,2174.30,0.00,179.52,15.22,0.00
94,waiter,2230.54,0.00,53.94,296.86,0.00
95,waiter,2249.79,0.00,24.48,612.91,0.00
96,barista,2274.27,0.00,11.98,60.42,0.00
97,barista,2284.48,0.00,32.02,1.95,0.00
98,waiter,2291.03,0.00,41.60,6.55,0.00
99,barista,2332.64,0.00,3.74,16.14,0.00
100,waiter,2338.95,0.00,22.23,6.31,0.00
101,barista,2353.82,0.00,19.05,17.44,0.00
102,barista,2361.18,0.00,1.24,74.93,0.00
103,barista,2441.22,0.00,11.14,68.36,0.00
104,waiter,2452.06,0.00,15.94,98.24,0.00
105,barista,2465.31,0.00,44.35,12.95,0.00
106,barista,2468.01,0.00,6.95,105.59,0.00
107,barista,2472.13,0.00,38.24,274.40,0.00
108,waiter,2498.67,0.00,1.54,30.67,0.00
109,barista,2500.22,0.00,70.63,25.26,0.00
110,waiter,2541.86,0.00,60.79,41.64,0.00
111,barista,2602.65,0.00,30.41,92.99,0.00
112,waiter,2608.64,0.00,54.22,5.99,0.00
113,barista,2662.86,0.00,92.20,29.80,0.00
114,barista,2703.54,0.00,0.47,132.69,0.00
115,waiter,2716.19,0.00,36.93,53.34,0.00
116,waiter,2727.56,0.00,1.41,366.39,0.00
117,barista,2728.97,0.00,1.91,24.96,0.00
118,barista,2753.12,0.00,62.69,22.25,0.00
119,waiter,2835.95,0.00,135.63,82.82,0.00
120,waiter,2842.80,0.00,28.84,113.83,0.00
121,waiter,2851.02,0.00,47.76,576.75,0.00
122,waiter,2869.76,0.00,12.13,2247.31,0.00
123,barista,2871.64,0.00,6.36,116.59,0.00
124,barista,2881.88,0.00,33.55,3.88,0.00
125,barista,2898.78,0.00,22.84,82.96,0.00
126,waiter,2912.30,0.00,86.28,40.66,0.00
127,waiter,2921.68,0.00,100.83,22.90,0.00
128,barista,2971.58,0.00,30.51,56.15,0.00
129,waiter,2973.27,0.00,159.21,1.69,0.00
130,barista,2998.57,0.00,73.59,76.95,0.00
131,waiter,3002.41,0.00,65.60,3.83,0.00
132,barista,3022.51,0.00,150.26,20.42,0.00
133,barista,3068.01,0.00,4.57,557.65,0.00
134,barista,3132.48,0.00,115.43,60.32,0.00
135,waiter,3179.72,0.00,1.68,47.24,0.00
136,barista,3181.40,0.00,96.96,8.63,0.00
137,waiter,3218.41,0.00,104.22,37.01,0.00
138,barista,3266.82,0.00,33.85,18.91,0.00
139,barista,3305.52,0.00,126.25,27.17,0.00
140,barista,3322.28,0.00,102.50,21.61,0.00
141,barista,3322.63,0.00,25.88,250.04,0.00
142,barista,3357.59,0.00,88.35,9.08,0.00
143,barista,3395.73,0.00,18.71,1502.59,0.00
144,waiter,3494.14,0.00,223.56,171.51,0.00
145,waiter,3592.50,0.00,23.77,524.48,0.00
146,barista,3616.27,0.00,91.52,184.49,0.00
147,barista,3717.69,0.00,89.16,9.91,0.00
148,waiter,3876.44,0.00,80.89,158.74,0.00
149,barista,3888.04,0.00,32.86,81.18,0.00
150,waiter,3888.22,0.00,13.37,271.96,0.00
151,barista,3901.59,0.00,3.84,476.81,0.00
152,waiter,3909.25,0.00,4.15,7.65,0.00
153,barista,3913.40,0.00,0.69,7.97,0.00
154,waiter,3924.33,0.00,47.32,10.93,0.00
155,barista,3957.32,0.00,6.77,36.43,0.00
156,barista,3971.65,0.00,115.04,7.55,0.00
157,waiter,3999.50,0.00,157.89,42.17,0.00
158,barista,4064.22,0.00,91.66,150.14,0.00
159,waiter,4085.68,0.00,24.68,114.03,0.00
160,barista,4110.35,0.00,52.09,23.66,0.00
161,barista,4157.39,0.00,92.85,1.51,0.00
162,barista,4157.54,0.00,41.95,711.60,0.00
163,waiter,4192.04,0.00,97.22,34.65,0.00
164,barista,4289.26,0.00,44.82,126.81,0.00
165,barista,4291.77,0.00,30.62,41.53,0.00
166,waiter,4295.80,0.00,198.31,6.54,0.00
167,waiter,4295.87,0.00,30.66,185.52,0.00
168,barista,4308.30,0.00,71.11,108.81,0.00
169,barista,4326.53,0.00,0.01,4.13,0.00
170,barista,4391.96,0.00,133.47,57.89,0.00
171,barista,4434.07,0.00,61.47,107.54,0.00
172,barista,4455.78,0.00,32.07,76.37,0.00
173,waiter,4468.34,0.00,57.94,141.81,0.00
174,barista,4494.10,0.00,133.17,6.25,0.00
175,barista,4526.28,0.00,13.63,0.85,0.00
176,waiter,4554.19,0.00,1.85,60.08,0.00
177,barista,4556.03,0.00,18.86,16.13,0.00
178,barista,4604.57,0.00,15.21,29.68,0.00
179,waiter,4624.30,0.00,15.14,68.27,0.00
180,waiter,4633.25,0.00,2.39,106.96,0.00
181,barista,4635.64,0.00,0.46,15.86,0.00
182,barista,4639.44,0.00,66.16,3.35,0.00
183,barista,4656.60,0.00,29.35,161.06,0.00
184,waiter,4678.91,0.00,22.20,39.46,0.00
185,waiter,4683.93,0.00,0.99,48.29,0.00
186,barista,4684.92,0.00,85.81,57.65,0.00
187,barista,4701.10,0.00,36.04,15.15,0.00
188,waiter,4716.58,0.00,56.25,15.48,0.00
189,barista,4770.79,0.00,66.02,65.18,0.00
190,waiter,4771.12,0.00,35.33,86.20,0.00
191,barista,4772.83,0.00,30.24,35.68,0.00
192,waiter,4803.08,0.00,101.84,30.25,0.00
193,waiter,4806.10,0.00,133.36,1783.59,0.00
194,barista,4806.45,0.00,42.84,3.38,0.00
195,waiter,4832.34,0.00,64.99,25.89,0.00
196,barista,4897.33,0.00,8.37,60.52,0.00
197,barista,4904.92,0.00,57.83,55.64,0.00
198,barista,4939.46,0.00,145.12,33.76,0.00
199,barista,5027.16,0.00,49.77,64.41,0.00
200,waiter,5039.84,0.00,70.86,134.91,0.00
201,barista,5110.70,0.00,14.18,26.12,0.00
202,waiter,5164.76,0.00,17.72,54.06,0.00
203,barista,5182.47,0.00,39.65,57.59,0.00
204,barista,5183.19,0.00,75.92,106.27,0.00
205,barista,5275.37,0.00,16.67,53.25,0.00
206,barista,5295.96,0.00,226.43,3.92,0.00
207,waiter,5300.12,0.00,38.99,117.65,0.00
208,waiter,5310.70,0.00,132.49,413.38,0.00
209,barista,5329.97,0.00,27.73,70.85,0.00
210,barista,5339.10,0.00,26.24,568.38,0.00
211,barista,5392.59,0.00,87.74,34.89,0.00
212,waiter,5428.48,0.00,10.31,89.37,0.00
213,barista,5438.79,0.00,26.98,73.44,0.00
214,barista,5443.19,0.00,77.26,2028.75,0.00
215,waiter,5473.10,0.00,92.84,34.31,0.00
216,waiter,5531.75,0.00,84.88,88.56,0.00
217,barista,5533.45,0.00,95.87,11.07,0.00
218,barista,5546.95,0.00,73.50,66.62,0.00
219,barista,5565.94,0.00,69.10,100.17,0.00
220,waiter,5615.87,0.00,94.70,49.93,0.00
221,barista,5616.63,0.00,103.85,96.19,0.00
222,waiter,5626.43,0.00,65.12,9.81,0.00
223,barista,5691.55,0.00,26.10,62.23,0.00
224,barista,5710.57,0.00,39.81,90.12,0.00
